Market Name,Market URL,Description of Market,Products in Market
3D Print Service Bureaus,https://www.gartner.com/reviews/market/3d-print-service-bureaus,"Our annual CIO survey found that 26% of the respondents have already deployed 3D printing or are planning for 3D printing.  Complicating the adoption of 3D printers by more organizations is the fact the price of enterprise-class devices ranges from $2,500 to over $2.5 million. Few companies will make significant investments without an acceptable ROI, which cannot be developed if 3D-printed pieces are not produced. Most manufacturing firms do not have the resources to own a variety of 3D printers of different technologies that may be occasionally used. For low-volume manufacturing and experimentation, 3D print service bureaus are an ideal solution for organizations that either cannot or do not want to be manufacturing. Indeed, these bureaus represent a new future for contract manufacturing. A practical alternative to making a significant investment is to engage with a 3D print service bureau.","['Quickparts', 'Ricoh 3D Print Service Bureaus', 'Materialise 3D Print Service Bureau', 'AMS 3D Printing Services', 'Aspect 3D Print Service Bureau', 'FATHOM 3D Print Service Bureau', 'Fast Radius On Demand Manufacturing', 'Protolabs 3D Print Service Bureau', 'Ricoh Rapid Fab 3D Print Service Bureau', 'Stratasys Direct Manufacturing 3D Print Service Bureau']"
4G and 5G Private Mobile Network Services,https://www.gartner.com/reviews/market/4g-and-5g-private-mobile-networks-services,"Technology and service providers (TSPs) who are able to offer an end-to-end service for 4G/5G private mobile network (PMN) include: CSPs, Network equipment providers (NEPs), Systems integrators (SIs) and Hyperscalers. PMNs are used exclusively by a given enterprise client, providing higher security and reliability than public cellular networks. PMN offerings can include voice, video, messaging and broadband data, as well as specific critical communications features (such as lone worker protection [LWP] or push-to-talk over cellular [PTToC]). PMNs can then support use cases around HD video, data, artificial intelligence (AI)/machine learning (ML) and Internet of Things (IoT), and run on-site or in a cloud, or a multiaccess edge computing data center (MEC DC).","['Vodafone Mobile Private Networks', 'AT&T Private Cellular Networks', 'AWS Private 5G', 'On Site 5G', 'Azure private MEC', '5G Advanced Network Solutions', 'Athonet 5G Core', 'Celona 5G LAN', 'Edge Connectivity', 'Kyndryl Private Wireless Services', 'Nokia Industrial-grade Private Wireless', 'Private 5G and Edge Computing Services', 'Private Wireless-as-a-Service', 'Verizon Private 5G Network', 'ZEPF Mobile IoT Wireless', 'eLTE Integrated Access Solution']"
4PLs,https://www.gartner.com/reviews/market/4pls,"A 4PL is a supply chain services provider that assumes managerial responsibility for the design, build, run, measurement and orchestration of an end-to-end logistics network on behalf of their customer for a fee. A 4PL manages and coordinates the physical execution of logistics operations via internal and/or external parties while delivering end-to-end visibility, management control and optimization via an integrated technology platform.
The growth in demand for 4PL partnerships is largely a result of the impact and ongoing risk that various disruptions pose to logistics networks and global supply chains. This increased focus on risk management has driven organizations to elevate the importance of integrating logistics into their supply chains on organizational, process and digital levels. Gone are the days when logistics was considered a poor relative of the supply chain family; on the contrary, logistics has come of age and has finally earned a well-deserved seat at the supply chain table.
The 4PL’s scope of managerial services spans the logistics needs of their customer. This means that the 4PL typically oversees internal company resources, 3PL providers, and carriers allowing their client to deal with one service provider as the central orchestrator. Typically, the transactional contractual agreements with the carriers and 3PLs in this scenario remain direct with the customer, and the 4PL is compensated via a management fee structure.
Some 4PLs are leveraging digitally enabled technology capabilities to help them orchestrate process integration between logistics and other supply chain functions. These enhancements can enable advanced capabilities in supply chain planning, sourcing and procurement, manufacturing, network design, and strategic planning.","['C.H. Robinson Navisphere', 'DB Schenker 4PLs', '4flow 4PLs']"
5G Enterprise Data Services,https://www.gartner.com/reviews/market/5g-enterprise-data-services,"Gartner define this, market which includes mobile and fixed wireless broadband internet access services based on the 5G standard developed by the 3rd Generation Partnership Project (3GPP). Cellular carriers, in turn, deliver 5G services using low-, mid- and high-frequency licensed spectrum bands. Enterprise customers purchase 5G services for two primary use cases: (1) Fixed wireless access (FWA) for locations such as branch offices. FWA services can offer unlimited data usage, but more typically they offer access setting monthly data usage thresholds, after which data bandwidth is throttled down until the end of the month. (2) Internet access for mobile users. Smartphone 5G services are typically sold as a bundle of data, messaging and voice, with the voice portion predominantly based on 4G LTE.
These services can be assessed for their geographic reach, performance, price, service plan features, service-level agreements (if available), customer support/management and connection security.","['AT&T 5G', 'Orange Business 5G Enterprise Data Services']"
5G Network Infrastructure for Communications Service Providers,https://www.gartner.com/reviews/market/5g-network-infrastructure-for-communications-service-providers,"Gartner defines 5G network infrastructure as “components and capabilities that support communications service providers (CSPs) in providing connectivity services such as mobile broadband, fixed wireless access and voice communication over a 5G network.” Gartner considers 5G to be foundational technology, implemented to evolve a CSP’s core business process, including in the consumer business and enterprise business sectors.","['Ericsson 5G RAN', 'Huawei 5G RAN', 'Nokia 5G RAN', 'NEC Open vRAN', 'Mavenir Open Virtualized RAN', 'Fujitsu 5G RAN', 'MTI 5G RU', 'Samsung 5G RAN', 'Viettel 5G gNodeB', 'ZTE Wireless Access']"
A/B Testing Tools,https://www.gartner.com/reviews/market/a-b-testing-tools,"A/B testing tools compare the two versions (control and variant) of webpage or content to determine the better performing and appealing version. These tools aim to optimize engagement and conversion goals by deploying multiple versions of digital content in real time. Traffic is split at random so that one group sees version A while the other sees version B. Statistical analysis combined with segmentation data is used to improve actions taken by visitors/users across the customer life-cycle.
A/B testing tools are used by marketers and web developers to make data-driven decisions for product and marketing strategy.","['VWO', 'Adobe Target', 'AB Tasty', 'Oracle Maxymiser', 'Apptimize', 'Kameleoon', 'Webtrends Optimize', 'Dynamic Yield', 'Convert Experiences', 'Leanplum']"
AI Avatars,https://www.gartner.com/reviews/market/ai-avatars,"AI avatars are digital character designed to mimic human-like qualities created through computer-generated imagery (CGI) and various AI technologies such as, natural language processing (NLP), synthetic voice generation, computer vision, and emotion AI. They can represent real people, digital beings, or objects, often used for branding or interactive purposes. What sets these AI avatars apart is their ability to have personalized interactions with users based on their behavior, preferences, and past history. Additionally, they have multilingual capabilities, making them accessible and user-friendly to a global audience. These avatars are commonly used in virtual reality, video games, online forums, and as virtual assistants.","['Synthesia', 'Deepbrain Human AI', 'DaveAI', 'Rephrase.ai', 'NVIDIA ACE', 'VEED', 'Speechify', 'Colossyan', 'Soul Machines', 'Synthesys', 'Pitch Avatar']"
AI Offerings in CSP Network Operations,https://www.gartner.com/reviews/market/ai-offerings-in-csp-network-operations,"Gartner defines AI in CSP network operations as commercial off-the-shelf (COTS) offerings (embedded in operational technology [OT] applications, as a horizontal application or as a platform/open platform) with capabilities to utilize network operations data and to develop and evolve algorithms. It can also manage the life cycle of algorithms, applying them to different use cases that optimize and enhance CSP network operations.","['Anodot', 'IBM Cloud Pak for Network Automation', 'AISWare ReTiNA', 'Ericsson Expert Analytics', 'Paragon Insights', 'HPE Unified Correlation and Automation', 'Amdocs Network Optimization Suite by actix', 'ZSmart Digital OSS', 'Avanseus Cognitive Assistant for Networks', 'Ericsson Network Manager', 'AISWare\xa0NWDAF', 'AISWare SDN', 'Ericsson CENX Service Assurance']"
AI Writing Assistant Software,https://www.gartner.com/reviews/market/ai-writing-assistant-software,"AI Writing Assistant Software allows users to create original and high-quality content in different styles and tones. To create such content, it leverages machine learning and natural language processing (NLP) technologies, which provide suggestions based on previously entered material and perform writing-related jobs, including spell check, grammar check, text predictions, and plagiarism detection. In addition, the scope of content ranged from creating long-form content to short-form content, including blogs, landing pages, product descriptions, website headlines, and more. The typical user of the software are copywriters, content marketers, communication leaders, customer service agents, authors, journalists, bloggers, and other wordsmiths.","['Grammarly', 'Copy.ai', 'Writer', 'Jasper', 'Writesonic', 'WordAi', 'TextWizard', 'Ginger Business', 'Hypotenuse AI', 'ProWritingAid', 'Regie.ai']"
AI in CSP Customer and Business Operations,https://www.gartner.com/reviews/market/ai-in-csp-customer-and-business-operations,"Gartner defines the market of AI in communications service provider (CSP) customer and business operations as commercial off-the-shelf (COTS) products. They are either capabilities embedded in CSP-specific operational technology (OT) applications (such as channels, CRM and other business support system [BSS] applications) or industry-agnostic horizontal applications delivering AI/machine learning (ML)-based customer and business operations in CSPs. CSP customer and business operations refer to marketing, sales, customer acquisition, customer journey, billing and revenue management, revenue assurance, and related risk management. The scope of AI products covers data readiness, life cycle management of algorithms and their application to CSP customer and business operations.","['Microsoft 365 Copilot', 'Lucidya', 'Wipro Holmes', 'AmplifAI', 'IBM Watson Studio', 'AWS Lake Formation', 'Amazon Personalize', 'Responsible AI', 'AWS Contact Center Intelligence (CCI) Solutions', 'Amazon SageMaker', 'Tecnotree Sensa', 'ZSmart Digital BSS', 'MindTitan', 'Intelligent Network Operations', 'Solutions.AI for Pricing', 'Amdocs Customer Experience Suite', 'Solutions.AI for Marketing', 'Whale Cloud Digital Marketing Cloud', 'AISWare AI Global Artificial Intelligence Platform', 'Accenture Advanced Customer Engagement', 'Amdocs AI & Data Platform', 'BlueMarble BSS', 'Digital Customer Lifecycle Manager (DCLM)', 'Ericsson Digital Experience Platform', 'Etiya Customer Engagement Solutions', 'Flytxt', 'Huawei BSS Managed Services Operation', 'Huawei SmartCare', 'HyperSense AI', 'Infonova Digital Business Platform', 'Intelligent Revenue Growth', 'Solutions.AI for Processing', 'Supply chain and operations services', 'TechSee VIA Platform', 'Topcoder', 'WhaleTalk']"
